settlement_id,order_id,settlement_date,settled_amount,settlement_status
ST0103,ORD0103,12-08-2026,500,SETTLED
ST0104,ORD0104,22-08-2026,3000,SETTLED
ST0105,ORD0105,18-08-2026,900,SETTLED
ST0106,ORD0106,18-08-2026,750,SETTLED
ST0107,ORD0107,04-08-2026,5000,SETTLED
ST0108,ORD0108,09-08-2026,2500,SETTLED
ST0109,ORD0109,22-08-2026,1200,SETTLED
ST0110,ORD0110,23-08-2026,500,SETTLED
ST0111,ORD0111,06-08-2026,2500,SETTLED
ST0112,ORD0112,22-08-2026,5000,SETTLED
ST0113,ORD0113,12-08-2026,1500,SETTLED
ST0114,ORD0114,13-08-2026,1200,SETTLED
ST0115,ORD0115,16-08-2026,1000,SETTLED
ST0116,ORD0116,23-08-2026,1500,SETTLED
ST0117,ORD0117,12-08-2026,750,SETTLED
ST0118,ORD0118,18-08-2026,5000,SETTLED
ST0119,ORD0119,07-08-2026,750,SETTLED
ST0121,ORD0121,10-08-2026,1500,SETTLED
ST0122,ORD0122,13-08-2026,1000,SETTLED
ST0123,ORD0123,09-08-2026,2000,SETTLED
ST0124,ORD0124,11-08-2026,1500,SETTLED
ST0125,ORD0125,16-08-2026,2000,SETTLED
ST0001,ORD0001,22-08-2026,750,SETTLED
